popularity,explicit,principal_artist_followers,acousticness,year,duration_min,energy
84,TRUE,12481109,0.00614,2021,2.39835,0.846
82,TRUE,5069175,0.161,2021,2.803783333,0.554
77,FALSE,182080,0.0000653,2021,3.19705,0.913
81,FALSE,84618954,0.0129,2021,3.662666667,0.557
72,FALSE,3013913,0.116,2021,3.012366667,0.696
78,FALSE,6226718,0.223,2021,2.0645,0.537
84,TRUE,73580251,0.276,2021,3.445166667,0.648
86,FALSE,12145455,0.034,2021,3.378916667,0.798
78,TRUE,4519905,0.578,2021,2.349716667,0.739
80,FALSE,8700290,0.0867,2021,3.52,0.824
82,FALSE,84618954,0.0317,2021,3.2191,0.686
78,TRUE,587397,0.0591,2021,1.893333333,0.77
78,TRUE,79123685,0.000619,2021,4.2934,0.597
81,FALSE,84618954,0.00108,2021,3.718216667,0.777
79,FALSE,780,0.914,2021,2.433333333,1
82,TRUE,26114237,0.0164,2021,3.102883333,0.621
86,TRUE,4697216,0.0383,2021,2.363416667,0.764
73,FALSE,3013913,0.0183,2021,2.847633333,0.517
78,FALSE,84618954,0.162,2021,4.626516667,0.817
73,FALSE,6957293,0.657,2021,2.696216667,0.538
84,TRUE,15491375,0.00776,2021,4.785333333,0.766
80,TRUE,27465756,0.941,2021,2.726433333,0.203
80,FALSE,84618954,0.000443,2021,3.849333333,0.695
77,FALSE,1640705,0.38,2021,3.569133333,0.565
77,TRUE,12488324,0.333,2021,9.802316667,0.652
83,FALSE,50572176,0.182,2021,4.034933333,0.616
84,FALSE,826166,0.727,2021,2.962,0.508
83,TRUE,2073901,0.174,2021,2.342216667,0.716
77,FALSE,51370,0.357,2021,3.602,0.45
79,TRUE,26114237,0.315,2021,2.304883333,0.655
79,TRUE,26114237,0.506,2021,2.904216667,0.488
78,TRUE,79123685,0.758,2021,5.608516667,0.667
81,FALSE,1363563,0.0332,2021,2.5552,0.781
76,TRUE,12488324,0.269,2021,2.0262,0.653
75,FALSE,322318,0.513,2021,3.38955,0.683
81,TRUE,79123685,0.967,2021,2.229366667,0.161
86,TRUE,4697216,0.0383,2021,2.363416667,0.764
79,FALSE,166719,0.0018,2021,2.6776,0.671
80,FALSE,41368592,0.0377,2021,3.789916667,0.676
79,TRUE,3005249,0.121,2021,2.667533333,0.575
86,FALSE,41368592,0.841,2021,3.1581,0.327
74,TRUE,1660193,0.107,2021,4.511166667,0.6
72,FALSE,336462,0.257,2021,3.1871,0.632
77,TRUE,5367803,0.17,2021,3.858283333,0.618
73,TRUE,3957238,0.0458,2021,2.28165,0.608
73,TRUE,5947594,0.172,2021,2.96885,0.55
80,FALSE,190675,0.859,2021,2.007133333,0.123
78,FALSE,27465756,0.753,2021,3.380433333,0.259
82,FALSE,16176870,0.137,2021,2.7309,0.875
76,TRUE,7059813,0.0802,2021,2.405816667,0.639
76,TRUE,755958,0.125,2021,2.894,0.626
84,FALSE,50987711,0.578,2021,3.7449,0.366
